523f653832711071d4f5b8582b02f741  - /home/tk3301/21205/access2/1128/2030/11.5.0

input  frames    f  r  c  e  a  w
1       16       .  .  .  .  .  .
1       31       .  .  .  .  .  .
2       16       .  .  .  .  .  .
2       31       .  .  .  .  .  .
3       16       .  .  .  .  .  .
3       31       .  .  .  .  .  .
4       16       .  .  .  .  .  .
4       31       .  .  .  .  .  .
5       16       .  .  .  .  .  .
5       31       .  .  .  .  .  .
6       16       .  .  .  .  .  .
6       31       .  .  .  .  .  .
7       16       .  .  .  .  .  .
7       31       .  .  .  .  .  .
8       16       .  .  .  .  .  .
8       31       .  .  .  .  .  .
9       16       .  .  .  .  .  .
9       31       .  .  .  .  .  .
10      16       .  .  .  .  .  .
10      31       .  .  .  .  .  .
11      16       #  #  #  #  #  #
11      31       #  #  #  #  #  #
SUM             20 20 20 20 20 20
